iter	Passed	Remaining
0	342	68068
1	423	41938
2	481	31596
3	542	26598
4	599	23365
5	672	21732
6	752	20741
7	869	20863
8	985	20922
9	1058	20112
10	1122	19285
11	1187	18602
12	1250	17989
13	1307	17372
14	1398	17253
15	1491	17146
16	1566	16858
17	1656	16749
18	1727	16459
19	1798	16187
20	1909	16272
21	2017	16326
22	2220	17089
23	2552	18715
24	2765	19360
25	2906	19452
26	3020	19355
27	3177	19520
28	3280	19341
29	3438	19483
30	3551	19362
31	3707	19463
32	3892	19698
33	4039	19722
34	4156	19594
35	4319	19676
36	4458	19641
37	4598	19603
38	4791	19779
39	5007	20031
40	5269	20434
41	5645	21236
42	5780	21105
43	5863	20788
44	5962	20538
45	6043	20231
46	6122	19931
47	6186	19589
48	6426	19804
49	6554	19662
50	6653	19438
51	6745	19198
52	6832	18949
53	6932	18742
54	7040	18562
55	7138	18356
56	7205	18076
57	7284	17835
58	7442	17785
59	7522	17552
60	7598	17315
61	7670	17073
62	7749	16852
63	7830	16639
64	7985	16585
65	8075	16396
66	8207	16292
67	8296	16105
68	8504	16145
69	8599	15971
70	8708	15822
71	8794	15635
72	8911	15504
73	9018	15355
74	9143	15239
75	9252	15096
76	9357	14948
77	9432	14752
78	9523	14586
79	9637	14455
80	9737	14305
81	9834	14151
82	9947	14022
83	10091	13935
84	10214	13819
85	10314	13673
86	10397	13505
87	10482	13341
88	10578	13193
89	10695	13072
90	10826	12967
91	11059	12983
92	11186	12870
93	11379	12832
94	11539	12754
95	11655	12626
96	11786	12515
97	11925	12411
98	12111	12356
99	12422	12422
100	12606	12357
101	12782	12281
102	12932	12179
103	13095	12088
104	13257	11994
105	13427	11907
106	13593	11814
107	13718	11686
108	13841	11556
109	13915	11385
110	13973	11203
111	14033	11026
112	14100	10856
113	14183	10700
114	14285	10558
115	14430	10449
116	14561	10329
117	14641	10174
118	14703	10008
119	14800	9867
120	14920	9741
121	14991	9584
122	15077	9438
123	15161	9292
124	15249	9149
125	15339	9008
126	15422	8864
127	15504	8721
128	15588	8579
129	15681	8443
130	15747	8294
131	15818	8149
132	15897	8008
133	15990	7875
134	16231	7815
135	16334	7686
136	16423	7552
137	16515	7420
138	16625	7296
139	16696	7155
140	16765	7015
141	16828	6873
142	16925	6746
143	17007	6614
144	17082	6479
145	17159	6346
146	17216	6207
147	17280	6071
148	17345	5937
149	17408	5802
150	17466	5667
151	17537	5538
152	17601	5407
153	17656	5273
154	17715	5143
155	17770	5012
156	17828	4883
157	17883	4753
158	17943	4627
159	18071	4517
160	18164	4400
161	18227	4275
162	18290	4151
163	18365	4031
164	18480	3920
165	18569	3803
166	18635	3682
167	18699	3561
168	18765	3442
169	18843	3325
170	18935	3211
171	19009	3094
172	19080	2977
173	19154	2862
174	19247	2749
175	19324	2635
176	19389	2519
177	19447	2403
178	19505	2288
179	19566	2174
180	19628	2060
181	19694	1947
182	19754	1835
183	19832	1724
184	19904	1613
185	19975	1503
186	20033	1392
187	20129	1284
188	20199	1175
189	20270	1066
190	20338	958
191	20410	850
192	20477	742
193	20543	635
194	20604	528
195	20660	421
196	20717	315
197	20772	209
198	20841	104
199	20904	0
